title,location,link,publishedAt,employer,employerUrl,error,job_title,job_id,job_normalized_title,job_url,job_location,job_description,job_description_html,job_posted_date,job_remote,job_salary,job_candidate_numbers,job_job_types,job_levels,job_benefits_tags,job_shifts_and_schedule_tags,job_sponsored,job_industry,job_language,job_poster_first_name,job_poster_last_name,job_poster_linkedin_profile_url,company_uri_providers,company_name,company_short_name,company_logo,company_headquarters_location,company_sizes_str,company_size,company_website,company_revenue,company_url,company_description,company_tag_line,company_linkedin_follower_count,company_industries,company_locations,all,company_foundation_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
College Aide - Web Developer,"Manhattan, NY",https://www.linkedin.com/jobs/view/college-aide-web-developer-at-city-of-new-york-4032670516?position=21&pageNum=0&refId=S6Vy6NuHSxdfjMS5UrtGdQ%3D%3D&trackingId=Sf%2FGCXV3pthQgY5BsV0HGw%3D%3D,2 months ago,City of New York,https://www.linkedin.com/company/city-of-new-york?trk=public_jobs_jserp-result_job-search-card-subtitle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frontend/Full-stack Engineer,"New York, NY",https://www.linkedin.com/jobs/view/frontend-full-stack-engineer-at-sweetspot-yc-s23-4065661560?position=22&pageNum=0&refId=S6Vy6NuHSxdfjMS5UrtGdQ%3D%3D&trackingId=74xlw0sLjUj%2FnVdS1T%2FV7Q%3D%3D,1 month ago,Sweetspot (YC S23),https://www.linkedin.com/company/sweetspotgov?trk=public_jobs_jserp-result_job-search-card-subtitle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Full Stack Engineer,"New York, NY",https://www.linkedin.com/jobs/view/full-stack-engineer-at-roboflow-3816733441?position=23&pageNum=0&refId=S6Vy6NuHSxdfjMS5UrtGdQ%3D%3D&trackingId=IHbTmxe0VbzoEXoJqrwwOA%3D%3D,10 months ago,Roboflow,https://www.linkedin.com/company/roboflow-ai?trk=public_jobs_jserp-result_job-search-card-subtitle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Entry/Junior Full-Stack Engineer (Remote),"Buffalo, NY",https://www.linkedin.com/jobs/view/entry-junior-full-stack-engineer-remote-at-synergisticit-4062255041?position=24&pageNum=0&refId=S6Vy6NuHSxdfjMS5UrtGdQ%3D%3D&trackingId=ZYjMzhsfT9VYxuO02bZd9Q%3D%3D,1 month ago,SynergisticIT,https://www.linkedin.com/company/synergisticit?trk=public_jobs_jserp-result_job-search-card-subtitle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Full Stack Engineer,"Brooklyn, NY",https://www.linkedin.com/jobs/view/full-stack-engineer-at-carry-4070094113?position=25&pageNum=0&refId=S6Vy6NuHSxdfjMS5UrtGdQ%3D%3D&trackingId=PavwVXiKU3dY0dY1%2F7dWjQ%3D%3D,4 weeks ago,Carry,https://www.linkedin.com/company/carrymoney?trk=public_jobs_jserp-result_job-search-card-subtitle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Front-End Engineer,"New York, United States",https://www.linkedin.com/jobs/view/front-end-engineer-at-amazon-web-services-aws-4012649146?position=26&pageNum=0&refId=S6Vy6NuHSxdfjMS5UrtGdQ%3D%3D&trackingId=wXIugNUU4h4HAJ2p%2BwgARg%3D%3D,1 week ago,Amazon Web Services (AWS),https://www.linkedin.com/company/amazon-web-services?trk=public_jobs_jserp-result_job-search-card-subtitle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frontend Software Engineer,"New York, NY",https://www.linkedin.com/jobs/view/frontend-software-engineer-at-fid-labs-4074081509?position=27&pageNum=0&refId=S6Vy6NuHSxdfjMS5UrtGdQ%3D%3D&trackingId=8ODSD4jhcxkemOewon46EA%3D%3D,3 weeks ago,Fid Labs,https://www.linkedin.com/company/fid-labs?trk=public_jobs_jserp-result_job-search-card-subtitle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frontend Developer,"New York, United States",https://www.linkedin.com/jobs/view/frontend-developer-at-caspian-one-4085006003?position=28&pageNum=0&refId=S6Vy6NuHSxdfjMS5UrtGdQ%3D%3D&trackingId=6PTkl0nYzDVibxrqUb%2Bv1Q%3D%3D,5 days ago,Caspian One,https://uk.linkedin.com/company/caspianone?trk=public_jobs_jserp-result_job-search-card-subtitle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Front-End Engineer,"New York, NY",https://www.linkedin.com/jobs/view/front-end-engineer-at-focus-ai-4038547239?position=29&pageNum=0&refId=S6Vy6NuHSxdfjMS5UrtGdQ%3D%3D&trackingId=0LTejdIU%2BxWum2ElIj3IKg%3D%3D,2 months ago,Focus AI,https://www.linkedin.com/company/focus-ai-corp?trk=public_jobs_jserp-result_job-search-card-subtitle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fullstack Software Engineer,"New York, NY",https://www.linkedin.com/jobs/view/fullstack-software-engineer-at-loopscale-4036188617?position=30&pageNum=0&refId=S6Vy6NuHSxdfjMS5UrtGdQ%3D%3D&trackingId=3nEmIznitAfgaS8QnzdzjQ%3D%3D,2 months ago,Loopscale,https://www.linkedin.com/company/loopscalelabs?trk=public_jobs_jserp-result_job-search-card-subtitle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
